iter	Passed	Remaining
0	75	75252
1	76	38370
2	77	25841
3	78	19601
4	79	15814
5	80	13290
6	80	11487
7	81	10119
8	85	9382
9	85	8504
10	86	7794
11	87	7199
12	88	6696
13	97	6881
14	100	6588
15	101	6242
16	104	6027
17	104	5725
18	107	5533
19	108	5294
20	109	5082
21	109	4883
22	111	4724
23	112	4564
24	117	4601
25	118	4452
26	119	4311
27	122	4239
28	123	4131
29	125	4051
30	136	4258
31	137	4147
32	141	4154
33	148	4223
34	149	4121
35	150	4024
36	151	3947
37	152	3868
38	153	3785
39	154	3709
40	155	3636
41	156	3559
42	156	3490
43	159	3462
44	160	3414
45	164	3408
46	165	3350
47	166	3296
48	167	3254
49	168	3201
50	169	3151
51	169	3095
52	170	3042
53	170	2993
54	171	2946
55	171	2899
56	172	2853
57	173	2825
58	175	2791
59	176	2769
60	177	2738
61	178	2698
62	178	2659
63	179	2624
64	180	2590
65	180	2556
66	181	2522
67	182	2497
68	183	2470
69	187	2488
70	188	2470
71	192	2477
72	193	2452
73	194	2427
74	194	2403
75	195	2375
76	195	2347
77	196	2319
78	196	2293
79	197	2267
80	197	2242
81	198	2217
82	198	2190
83	198	2168
84	199	2147
85	200	2126
86	204	2143
87	206	2142
88	207	2127
89	208	2110
90	209	2093
91	210	2082
92	211	2065
93	216	2086
94	217	2071
95	218	2055
96	222	2067
97	224	2062
98	224	2047
99	225	2031
100	226	2017
101	229	2016
102	229	2001
103	230	1987
104	231	1974
105	234	1981
106	240	2008
107	242	1998
108	242	1985
109	244	1974
110	244	1960
111	245	1944
112	246	1937
113	257	2002
114	258	1991
115	259	1977
116	260	1962
117	260	1947
118	261	1933
119	261	1919
120	263	1912
121	275	1982
122	276	1969
123	277	1960
124	278	1946
125	278	1934
126	279	1921
127	284	1939
128	286	1934
129	287	1926
130	288	1916
131	289	1904
132	290	1894
133	291	1883
134	291	1870
135	292	1859
136	300	1893
137	301	1883
138	302	1870
139	302	1860
140	303	1848
141	303	1834
142	304	1822
143	304	1810
144	305	1798
145	305	1786
146	305	1775
147	306	1763
148	306	1752
149	307	1741
150	314	1765
151	316	1767
152	317	1758
153	318	1747
154	318	1736
155	319	1725
156	319	1715
157	319	1704
158	320	1694
159	321	1685
160	321	1674
161	321	1664
162	322	1654
163	322	1645
164	327	1659
165	328	1651
166	329	1645
167	331	1639
168	331	1631
169	332	1624
170	333	1615
171	334	1608
172	334	1600
173	335	1592
174	335	1583
175	339	1589
176	340	1582
177	342	1582
178	344	1578
179	345	1572
180	345	1564
181	346	1556
182	347	1549
183	348	1545
184	351	1549
185	353	1546
186	354	1540
187	355	1535
188	356	1529
189	357	1523
190	359	1521
191	359	1514
192	360	1506
193	361	1500
194	362	1498
195	365	1499
196	368	1500
197	369	1497
198	370	1491
199	371	1485
200	373	1486
201	376	1487
202	378	1485
203	380	1482
204	380	1476
205	381	1469
206	381	1462
207	382	1456
208	383	1450
209	385	1450
210	386	1444
211	386	1437
212	387	1430
213	393	1446
214	397	1451
215	399	1449
216	399	1442
217	400	1435
218	400	1428
219	401	1421
220	401	1415
221	401	1408
222	402	1402
223	403	1396
224	406	1399
225	406	1393
226	408	1390
227	410	1388
228	411	1385
229	412	1381
230	413	1376
231	420	1391
232	421	1387
233	422	1383
234	424	1381
235	425	1376
236	425	1370
237	426	1365
238	427	1359
239	427	1354
240	428	1349
241	429	1344
242	430	1339
243	431	1338
244	433	1335
245	434	1333
246	441	1344
247	441	1339
248	442	1334
249	442	1328
250	443	1323
251	444	1319
252	445	1315
253	447	1314
254	448	1311
255	451	1312
256	452	1307
257	452	1302
258	453	1296
259	453	1291
260	454	1286
261	455	1281
262	455	1276
263	456	1272
264	460	1276
265	461	1273
266	462	1269
267	463	1266
268	464	1261
269	464	1256
270	465	1251
271	465	1246
272	466	1241
273	466	1236
274	467	1231
275	467	1226
276	469	1224
277	476	1238
278	477	1234
279	478	1230
280	479	1227
281	481	1225
282	482	1221
283	482	1216
284	482	1211
285	483	1206
286	483	1202
287	484	1197
288	492	1212
289	494	1209
290	495	1207
291	496	1203
292	496	1198
293	497	1194
294	497	1190
295	498	1186
296	500	1185
297	501	1180
298	501	1176
299	506	1180
300	508	1181
301	509	1177
302	510	1174
303	511	1170
304	511	1165
305	512	1161
306	513	1158
307	514	1156
308	516	1154
309	524	1167
310	525	1163
311	526	1161
312	528	1160
313	529	1155
314	529	1151
315	529	1147
316	530	1142
317	530	1138
318	531	1134
319	532	1130
320	539	1141
321	540	1138
322	543	1139
323	544	1135
324	544	1131
325	545	1127
326	545	1122
327	546	1118
328	546	1114
329	547	1110
330	554	1120
331	554	1116
332	555	1113
333	556	1109
334	556	1105
335	557	1101
336	557	1097
337	558	1093
338	558	1089
339	559	1085
340	560	1083
341	564	1085
342	565	1083
343	566	1079
344	566	1075
345	566	1071
346	567	1067
347	567	1063
348	568	1059
349	568	1056
350	569	1053
351	570	1050
352	571	1047
353	577	1053
354	578	1050
355	579	1048
356	580	1046
357	581	1043
358	582	1040
359	582	1036
360	583	1032
361	583	1028
362	584	1025
363	584	1021
364	585	1018
365	585	1014
366	589	1017
367	591	1015
368	593	1014
369	594	1012
370	595	1009
371	596	1006
372	596	1003
373	597	1000
374	598	996
375	598	993
376	599	990
377	600	988
378	601	985
379	603	985
380	605	983
381	606	980
382	606	977
383	607	974
384	607	971
385	608	967
386	608	964
387	609	961
388	609	957
389	610	954
390	610	951
391	611	947
392	611	944
393	614	945
394	617	946
395	618	944
396	619	941
397	621	940
398	621	936
399	622	933
400	622	930
401	623	927
402	630	933
403	634	936
404	637	937
405	638	934
406	639	931
407	644	934
408	644	931
409	645	928
410	645	925
411	646	922
412	646	918
413	646	915
414	648	914
415	649	911
416	649	908
417	650	905
418	651	902
419	651	900
420	652	897
421	653	895
422	658	898
423	659	896
424	660	893
425	660	890
426	662	888
427	662	885
428	663	882
429	663	880
430	664	877
431	671	882
432	673	881
433	675	880
434	676	879
435	677	876
436	678	874
437	683	876
438	684	874
439	685	872
440	686	870
441	687	867
442	687	864
443	688	861
444	688	859
445	689	856
446	689	853
447	690	850
448	690	847
